x,y
-2.236246,53.4789792
-2.2363232,53.4777356
-2.2373299,53.4783021
-2.2383214,53.4776759
-2.2392551,53.4766781
-2.2429633,53.476593
-2.2312753,53.4815646
-2.2309577,53.4812219
-2.2266985,53.4816106
-2.2258458,53.4813301
-2.2372977,53.4844557
-2.2480449,53.478104
-2.2481237,53.4778577
-2.2454211,53.478151
-2.2490972,53.479131
-2.2486129,53.4781784
-2.2484975,53.4785255
-2.2464815,53.477175
-2.2457785,53.4760552
-2.2438892,53.4766553
-2.2444239,53.4771054
-2.2462044,53.4778761
-2.2452223,53.4788848
-2.2435501,53.4787465
-2.2396012,53.4769987
-2.2399024,53.4764161
-2.2397895,53.4777413
-2.2391178,53.4772002
-2.2382431,53.476539
-2.2379956,53.4763962
-2.2395739,53.4781496
-2.2404371,53.4776919
-2.2393961,53.4795639
-2.2386664,53.4792048
-2.2384946,53.4797555
-2.2389967,53.4793636
-2.228628,53.4809362
-2.2316523,53.4793471
-2.2338769,53.4777297
-2.2347548,53.4781319
-2.2342917,53.4783597
-2.2354425,53.4841428
-2.2362395,53.4837744
-2.2348997,53.4845194
-2.2342658,53.484124
-2.2327065,53.4833394
-2.2311143,53.4825423
-2.233822,53.4832152
-2.2358781,53.4862672
-2.23534,53.4854685
-2.2348568,53.4852202
-2.2349031,53.4857583
-2.234422,53.4855174
-2.238234,53.4850784
-2.238601,53.483988
-2.2396342,53.482101
-2.2407235,53.4807665
-2.2349269,53.4782275
-2.2360318,53.4775615
-2.2343324,53.4815148
-2.2337896,53.4812529
-2.2357562,53.4839321
-2.2351208,53.4835146
-2.2335539,53.4846333
-2.2234781,53.495122
-2.2298423,53.4861298
-2.1800139,53.5031275
-2.2487799,53.4658012
-2.2477464,53.4659589
-2.2484838,53.4646847
-2.2634481,53.4711817
-2.2642167,53.4707899
-2.2660329,53.4705573
-2.2672899,53.4696064
-2.2663947,53.4694536
-2.2408927,53.4613775
-2.241476,53.4608093
-2.2398474,53.4607477
-2.2370249,53.4604755
-2.1778707,53.4132568
-2.177069,53.4132093
-2.177834,53.4139589
-2.1785987,53.4160714
-2.1772192,53.4158082
-2.1804693,53.4163165
-2.184193,53.4166851
-2.1864423,53.4168711
-2.189741,53.4170034
-2.1897772,53.414168
-2.1828875,53.4233828
-2.1789764,53.416131
-2.178971,53.4176629
